event_id,commence_time,home_team,away_team,discovered_markets,fetched_any
6f4f9851f7634f0b452c9153373deddf,2025-10-24T22:40:00Z,Toronto Raptors,Milwaukee Bucks,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double,True
2115811d6d5915d1d9ab317396776cf7,2025-10-24T23:10:00Z,Orlando Magic,Atlanta Hawks,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double,True
600dfc9979b72eeef44b5545ba9fe18f,2025-10-24T23:30:00Z,New York Knicks,Boston Celtics,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double;player_turnovers,True
af723c8d13c83ededaa33a065f24a5be,2025-10-24T23:40:00Z,Brooklyn Nets,Cleveland Cavaliers,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double,True
fb2728391a56d2d12e9375729e1d428b,2025-10-25T00:10:00Z,Houston Rockets,Detroit Pistons,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double,True
934882eaef004213b7cf42357bfbb44f,2025-10-25T00:10:00Z,Memphis Grizzlies,Miami Heat,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double;player_turnovers,True
6509e75f3d3674a5cdd2cf12d4031b7c,2025-10-25T00:10:00Z,New Orleans Pelicans,San Antonio Spurs,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double,True
baa2506d4f166945e10f4f6995fb78ae,2025-10-25T00:40:00Z,Dallas Mavericks,Washington Wizards,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double;player_turnovers,True
00eb7e982d3c341cdc68795c73d901e1,2025-10-25T02:00:00Z,Los Angeles Lakers,Minnesota Timberwolves,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double;player_turnovers,True
f0f386295d750ba657ca31c569493eb1,2025-10-25T02:10:00Z,Portland Trail Blazers,Golden State Warriors,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double;player_turnovers,True
3b370cb6a9f1c935bc68cbe2e1866d21,2025-10-25T02:10:00Z,Sacramento Kings,Utah Jazz,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double;player_turnovers,True
5672262c6a3f8d7950dfe370f1146822,2025-10-25T02:40:00Z,Los Angeles Clippers,Phoenix Suns,player_assists;player_blocks;player_double_double;player_points;player_points_assists;player_points_rebounds;player_points_rebounds_assists;player_rebounds;player_rebounds_assists;player_steals;player_threes;player_triple_double;player_turnovers,True
