date,team_tri,player_id,player_name,_baseline_source,exp_min_mean,exp_min_source,exp_asof_ts
,NYL,4683006,Leonie Fiebich,blend_lag1_roll3_roll5_roll10,13.013333333333334,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,NYL,3102133,Rebecca Allen,blend_lag1_roll3_roll5_roll10,8.853333333333333,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,NYL,4281929,Satou Sabally,blend_lag1_roll3_roll5_roll10,8.65,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,NYL,4432844,Aubrey Griffin,blend_lag1_roll3_roll5_roll10,6.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,NYL,2593770,Betnijah Laney-Hamilton,blend_lag1_roll3_roll5_roll10,3.2,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,NYL,4790258,Raquel Carrera,blend_lag1_roll3_roll5_roll10,0.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,NYL,4790260,Marine Fauthoux,blend_lag1_roll3_roll5_roll10,0.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,2529140,Alyssa Thomas,blend_lag1_roll3_roll5_roll10,28.84,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,2998938,Kahleah Copper,blend_lag1_roll3_roll5_roll10,26.80333333333333,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,4281930,Anneli Maley,blend_lag1_roll3_roll5_roll10,26.400000000000002,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,5274110,Monique Akoa Makani,blend_lag1_roll3_roll5_roll10,26.21,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,869,DeWanna Bonner,blend_lag1_roll3_roll5_roll10,22.729999999999997,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,5107404,Sha Carter,blend_lag1_roll3_roll5_roll10,19.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,887,Sami Whitcomb,blend_lag1_roll3_roll5_roll10,17.973333333333333,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,4068042,Natasha Mack,blend_lag1_roll3_roll5_roll10,11.023333333333333,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,4282168,Kiana Williams,blend_lag1_roll3_roll5_roll10,8.946666666666667,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,4688629,Shay Ciezki,blend_lag1_roll3_roll5_roll10,8.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,PHX,4068104,Peyton Williams,blend_lag1_roll3_roll5_roll10,7.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,4595910,Haley Jones,blend_lag1_roll3_roll5_roll10,24.05666666666667,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,3906972,Bridget Carleton,blend_lag1_roll3_roll5_roll10,23.02,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,5209202,Nyadiew Puoch,blend_lag1_roll3_roll5_roll10,22.200000000000003,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,5108051,Jordan Harrison,blend_lag1_roll3_roll5_roll10,19.2,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,5208982,Carla Leite,blend_lag1_roll3_roll5_roll10,16.693333333333335,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,5108550,Serah Williams,blend_lag1_roll3_roll5_roll10,15.4,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,4682797,Luisa Geiselsoder,blend_lag1_roll3_roll5_roll10,15.120000000000001,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,4703794,Sarah Ashlee Barker,blend_lag1_roll3_roll5_roll10,15.096666666666668,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,5105406,Frieda Bühner,blend_lag1_roll3_roll5_roll10,12.600000000000001,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,4068159,Sug Sutton,blend_lag1_roll3_roll5_roll10,12.219999999999999,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,3934218,Megan Gustafson,blend_lag1_roll3_roll5_roll10,8.846666666666666,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,4398729,Emily Engstler,blend_lag1_roll3_roll5_roll10,7.493333333333333,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,4068346,Kamiah Smalls,blend_lag1_roll3_roll5_roll10,0.24,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,3056730,Karlie Samuelson,blend_lag1_roll3_roll5_roll10,0.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
,POR,5346554,Teja Oblak,blend_lag1_roll3_roll5_roll10,0.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-12T16:00:00Z
