gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022401000,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:44 PM EST),period,start,0,0,1,0022401000
0022401000,4,PT12M00.00S,1,1610612748,MIA,1642276,Ware,K. Ware,0,0,0,,0,,,0,h,Jump Ball Ware vs. Duren: Tip to Cunningham,Jump Ball,,1,0,2,0022401000
0022401000,7,PT11M45.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,127,17,13,Missed,1,,,0,v,MISS Cunningham 13' Jump Shot,Missed Shot,Jump Shot,1,2,3,0022401000
0022401000,8,PT11M43.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,0,0,0,,0,,,0,h,Adebayo REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4,0022401000
0022401000,9,PT11M25.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,48,100,11,Missed,1,,,0,h,MISS Adebayo 11' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,5,0022401000
0022401000,10,PT11M22.00S,1,1610612765,DET,1631105,Duren,J. Duren,0,0,0,,0,,,0,v,Duren REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,6,0022401000
0022401000,11,PT11M10.00S,1,1610612765,DET,202699,Harris,T. Harris,17,58,6,Made,1,0,2,2,v,Harris 6' Driving Floating Jump Shot (2 PTS) (Cunningham 1 AST),Made Shot,Driving Floating Jump Shot,1,2,7,0022401000
0022401000,13,PT10M47.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,-22,83,9,Made,1,2,2,4,h,Adebayo 9' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,1,2,8,0022401000
0022401000,14,PT10M26.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,-40,41,6,Missed,1,,,0,v,MISS Cunningham 6' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,2,9,0022401000
0022401000,15,PT10M24.00S,1,1610612748,MIA,1629639,Herro,T. Herro,0,0,0,,0,,,0,h,Herro REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,10,0022401000
0022401000,16,PT10M21.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,-5,29,3,Made,1,4,2,6,h,Adebayo 3' Running Layup (4 PTS),Made Shot,Running Layup Shot,1,2,11,0022401000
0022401000,17,PT10M21.00S,1,1610612765,DET,1631105,Duren,J. Duren,0,0,0,,0,,,0,v,Duren S.FOUL (P1.T1) (S.Jelks),Foul,Shooting,1,0,12,0022401000
0022401000,19,PT10M21.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,0,0,0,,0,5,2,7,h,Adebayo Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,1,0,13,0022401000
0022401000,20,PT10M07.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,-98,239,26,Missed,1,,,0,v,MISS Cunningham 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,14,0022401000
0022401000,21,PT10M05.00S,1,0,,1610612748,,,0,0,0,,0,,,0,h,HEAT Rebound,Rebound,Unknown,1,0,15,0022401000
0022401000,23,PT09M59.00S,1,1610612748,MIA,1631170,Jaquez Jr.,J. Jaquez Jr.,0,0,0,,0,,,0,h,Jaquez Jr. Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,1,0,16,0022401000
0022401000,24,PT09M51.00S,1,1610612765,DET,202699,Harris,T. Harris,92,25,10,Missed,1,,,0,v,MISS Harris 10' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,17,0022401000
0022401000,25,PT09M48.00S,1,0,,1610612748,,,0,0,0,,0,,,0,h,HEAT Rebound,Rebound,Unknown,0,0,18,0022401000
0022401000,27,PT09M36.00S,1,1610612748,MIA,1642276,Ware,K. Ware,0,0,0,,0,,,0,h,Ware Bad Pass Turnover (P1.T2),Turnover,Bad Pass,1,0,19,0022401000
0022401000,27,PT09M36.00S,1,1610612765,DET,1641709,Thompson,A. Thompson,0,0,0,,0,,,0,v,Thompson STEAL (1 STL),,,1,0,20,0022401000
0022401000,29,PT09M33.00S,1,1610612765,DET,1641709,Thompson,A. Thompson,5,0,1,Made,1,5,4,9,v,Thompson 1' Running Dunk (2 PTS),Made Shot,Running Dunk Shot,1,2,21,0022401000
0022401000,30,PT09M10.00S,1,1610612748,MIA,1629130,Robinson,D. Robinson,163,195,25,Missed,1,,,0,h,MISS Robinson 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,22,0022401000
0022401000,31,PT09M08.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,0,0,0,,0,,,0,v,Cunningham REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,23,0022401000
0022401000,32,PT09M01.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,-56,142,15,Made,1,5,6,11,v,Cunningham 15' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,2,24,0022401000
0022401000,33,PT08M45.00S,1,1610612748,MIA,1642276,Ware,K. Ware,-65,94,11,Made,1,7,6,13,h,Ware 11' Turnaround Hook Shot (2 PTS),Made Shot,Turnaround Hook Shot,1,2,25,0022401000
0022401000,34,PT08M28.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,0,0,0,,0,,,0,v,Cunningham Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,26,0022401000
0022401000,34,PT08M28.00S,1,1610612748,MIA,1631170,Jaquez Jr.,J. Jaquez Jr.,0,0,0,,0,,,0,h,Jaquez Jr. STEAL (1 STL),,,1,0,27,0022401000
0022401000,36,PT08M18.00S,1,1610612748,MIA,1629639,Herro,T. Herro,0,0,0,,0,,,0,h,Herro Traveling Turnover (P1.T3),Turnover,Traveling,1,0,28,0022401000
0022401000,38,PT08M06.00S,1,1610612765,DET,202699,Harris,T. Harris,1,55,6,Made,1,7,8,15,v,Harris 6' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,1,2,29,0022401000
